#,"Nice, and you are:",Ethnic Group Code,Monthly Household Income,District Code,Tertiary Institute,Tertiary_Other,What's the name of the tertiary institute?,"I have a certain amount of intelligence, and I can't really do much to change it.",My intelligence is something that I cannot change very much.,"I believe that no matter who you are, you can significantly change your intelligence level.",I believe that you can't really change how intelligent you are.,I believe that you can always substantially change how intelligent you are.,"You can learn new things, but you can't really change your basic intelligence.","No matter how much intelligence you have, whether high or low, you can always change it to quite a degree.",I can change even my basic intelligence level considerably.,"People have a certain amount of talent, and you can't really do much to change it.",Your talent is something you can't change very much.,"No matter who you are, you can significantly change your level of talent.","To be honest, you can't really change how much talent you have.",You can always substantially change how much talent you have.,"I can learn new things, but I can't really change my basic level of talent.","No matter how much talent you have, you can always change it quite a bit.",You can change even your basic talent level considerably.,I can make unpopular or difficult decisions that affect other people if necessary.,I don't think of myself as a strong person when dealing with life's challenges and difficulties.,"Under pressure, I stay focused and think clearly.","I prefer to take the lead in solving problems, rather than letting others make all the decisions.",I feel in control of my life.,I try to see the funny side of things when I am faced with problems.,"Good or bad, I believe that most things happen for a reason.",I don't believe that I can achieve my goals if there are problems.,"I work to attain my goals, no matter what problems I encounter along the way.",Having to cope with stress can make me stronger.,"On a whole, I am satisfied with myself.","At times, I think I'm no good at all.",I feel that I have a number of good qualities.,I am able to do things as well as most people.,I feel I do not have much to be proud of.,I certainly feel useless at times.,"I feel that I'm a person of worth, at least on an equal plane with others.",I wish I could have more respect for myself.,"All in all, I am inclined to feel that I am a failure.",I take a positive attitude towards myself.,I can always manage to solve difficult problems if I try hard enough.,"If someone opposes me, I can find means and ways to get what I want.",It is easy for me to stick to my aims and accomplish my goals.,I am confident that I can efficiently deal with unexpected events.,"Thanks to my resourcefulness, I know how to handle unforeseen situations.",I can solve most problems if I invest the necessary effort.,I can remain calm when facing difficulties because I can rely on my coping abilities.,"When I am confronted with a problem, I can usually find several solutions.","If I'm in a bind, I can usually think of something to do.","No matter what comes my way, I'm usually able to handle it.",It's fun to learn about unfamiliar subjects.,It's fascinating to learn new information.,I enjoy exploring new ideas.,"If I get to learn something new, I like to find out more.",It's fun to discuss abstract concepts.,I paint an interesting picture of the future for my group.,I'm always seeking new opportunities for my group.,I inspire my group with my plan for the future.,I have a clear understanding of where we are going.,I'm able to get others committed to my dream.,I would describe myself as someone who actively seeks as much information as I can in a new situation.,"When I am participating in an activity, I tend to get so involved that I lose track of time.",I frequently find myself looking for new opportunities to grow as a person.,I am <strong>not</strong> the type of person who probes deeply into new situations or things.,"When I am actively interested in something, it takes a great deal to interrupt me.",My friends would describe me as someone who is 'extremely intense' when in the middle of doing something.,"Everywhere I go, I am out looking for new things or experiences.",I am able to finish all my work during a set amount of time.,I know all the tasks I have to accomplish for the day.,I am able to plan and set goals for my projects.,I can set aside distractions and focus on what I am doing.,I set up a schedule for tasks and projects to be done.,I am sensitive to what others are not saying.,I am aware of what others imply but do not say.,I understand how others feel.,I listen for more than just the spoken words.,I assure others that I will remember what they say.,I summarise points of agreement and disagreement when appropriate.,I keep track of points others make.,I assure others that I am listening by using verbal acknowledgements.,I assure others that I am receptive to their ideas.,I ask questions that show my understanding of others' positions.,"I show others that I am listening through my body language (e.g. head nods, eye contact)",I am able to finish all my work during a set amount of time.,I know all the tasks I have to accomplish for the day.,I am able to plan and set goals for my projects.,I can set aside distractions and focus on what I am doing.,I set up a schedule for tasks and projects to be done.,How much do you contribute ideas/information/resources?,How participatory are you?,What is your typical standard of work quality?,How well do you manage your time?,How much do you support the team?,How prepared are you usually?,How do you participate in group problem solving?,How aware are you of the team dynamics and your impact on the team?,How supportive are you in a team?,How flexible are you between roles?,How self-reflective are you?,Score,Start Date (UTC),Submit Date (UTC),Network ID
af89bb4adc33c1ae7f99f74e78021ddc,Female,4,"$3,000 to $4,999",27,ITE,,ite ce,1,1,7,1,7,1,7,7,4,2,7,1,7,1,7,7,5,2,7,7,7,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,5,7,6,7,7,7,7,3,5,7,7,7,7,7,7,7,7,7,,,,,,"I usually share ideas, information and resources.",I can be relied on to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,I consistently use self-reflection after collaborative activities.,10,2018-03-04 23:33:54,2018-03-04 23:46:38,2c35dd5cfd
9780c4b6faf1183a7ec50761e4d7c172,Female,4,"$7000 to $8,999",14,ITE,,Ite College East,3,3,5,5,5,3,4,5,2,1,7,1,5,2,7,7,5,3,1,5,4,4,7,1,7,6,5,7,7,5,5,7,4,7,5,4,5,5,5,4,4,5,5,7,5,6,7,7,7,7,5,4,5,4,4,5,5,5,4,5,4,5,7,4,3,5,5,5,7,7,7,7,7,7,7,6,7,7,7,,,,,,I freely share ideas information and resources.,I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects some effort but occasionally needs to be checked and/or redone by others to ensure quality.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I represent the team and the work of fellow group members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",9,2018-03-04 09:40:31,2018-03-04 09:51:12,ce3ceeb1b0
f0c39a1dd551a921ff24b7a50f0f5603,Male,3,"Below $1,000",23,Junior College,,Millennia Institute,3,2,6,3,5,3,5,4,3,3,5,3,4,4,5,5,5,3,4,5,6,5,5,2,6,7,6,4,5,5,4,3,5,6,3,5,4,5,5,6,5,6,5,5,5,4,6,6,6,5,5,4,5,5,4,5,5,4,6,5,4,4,5,5,5,6,5,6,5,6,5,6,5,5,6,5,5,4,4,,,,,,"I share ideas, information and resources upon request.",I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,Occasionally I am critical of the team or the work of fellow group members when I am in other settings.,I consistently bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,I consistently use self-reflection after collaborative activities.,7,2018-03-03 04:15:02,2018-03-03 04:37:13,e8947c7415
0305a34ace33dcb2a973af820393b88b,Male,3,"$9,000 to $10,999",23,Polytechnic,,Singapore Polytechnic,6,5,3,4,4,5,4,4,6,6,2,3,2,6,2,2,6,3,4,4,3,6,7,2,6,4,6,5,5,2,6,5,6,4,4,5,6,6,5,6,4,6,5,5,6,4,6,6,6,5,5,4,5,5,6,4,6,6,5,4,6,4,4,5,4,6,5,4,5,6,6,6,6,5,6,5,4,4,6,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects some effort but occasionally needs to be checked and/or redone by others to ensure quality.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",8,2018-03-02 17:57:48,2018-03-02 18:17:21,3af01bb263
7870cccb9adb914991f9fef4505ff45d,Male,3,"$9,000 to $10,999",22,Polytechnic,,Singapore Polytechnic,4,3,5,3,5,3,5,5,4,4,3,5,3,4,3,3,5,6,5,4,3,4,4,5,4,4,2,6,4,3,5,6,2,6,6,4,3,4,4,4,4,4,4,3,4,3,5,5,5,5,5,4,4,4,4,4,5,4,3,3,5,5,4,3,3,3,4,4,4,6,6,6,3,5,5,5,5,5,5,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects some effort but occasionally needs to be checked and/or redone by others to ensure quality.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",Occasionally I am critical of the team or the work of fellow group members when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,Self-reflection occurs after collaborative activities when prompted or reminded by others.,8,2018-03-02 13:36:18,2018-03-02 17:27:35,26434f2e1d
298a212c60053ff06556dee2267a664c,Female,9,"$13,000 to $14,999",19,Polytechnic,,Ngee Ann Poly,3,3,5,3,5,3,5,5,4,3,4,4,5,4,5,5,6,4,5,5,4,6,6,5,6,6,5,5,5,5,4,5,4,4,4,4,5,4,5,5,5,6,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,4,5,4,4,5,5,5,5,6,6,6,5,4,4,6,5,6,6,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects some effort but occasionally needs to be checked and/or redone by others to ensure quality.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I occasionally know how to gauge my own impact on the group and I'm somewhat aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,Self-reflection occurs after collaborative activities when prompted or reminded by others.,8,2018-03-02 15:29:51,2018-03-02 15:45:02,cad3ffd592
de9a057d546e3e55e88cbe73a09a7e36,Female,9,"Below $1,000",16,ITE,,ITE COLLEGE EAST,5,5,7,3,4,3,5,5,3,1,7,3,3,3,4,4,7,4,5,5,5,5,7,4,6,1,5,5,5,5,2,5,7,4,2,7,5,5,4,4,4,7,7,7,4,5,7,7,7,7,7,7,7,7,5,7,7,5,7,4,7,4,7,4,5,4,4,5,6,7,7,7,5,5,5,6,6,7,6,,,,,,I freely share ideas information and resources.,I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I consistently know how to gauge my own impact on the group and am routinely aware of team dynamics.,"I consistently listen to, respect, acknowledge and support the efforts of others.",I can easily move between leader and follower. Assuming either role as needed to accomplish the task.,"Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",9,2018-03-02 14:50:46,2018-03-02 14:59:35,217d5b3018
b7ee0906e6d7fc0e67e9544c2a9a19e2,Female,3,"$19,000 to $20,999",22,Junior College,,Victoria junior college,4,5,3,4,5,6,3,3,6,5,3,5,4,6,3,3,5,3,4,3,4,3,3,2,5,5,4,4,4,4,5,3,5,4,2,4,4,3,4,4,4,5,5,3,3,4,5,6,5,6,5,3,3,3,4,3,5,3,4,4,4,3,4,5,5,4,4,2,5,5,5,5,5,3,5,2,5,2,6,,,,,,"I share ideas, information and resources upon request.",I sometimes make an effort to participate and remain engaged when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,I usually use time well to ensure that things are done so others do not have to adjust deadlines or work responsibilities.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I occasionally know how to gauge my own impact on the group and I'm somewhat aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,Self-reflection occurs after collaborative activities when prompted or reminded by others.,7,2018-03-02 13:39:53,2018-03-02 13:57:22,a67ef2a2a0
88b494b2bc562235875f99c18ea014b2,Female,3,"$3,000 to $4,999",23,Junior College,,St Joseph Institution,5,3,5,3,5,4,5,4,5,6,3,3,6,6,5,3,5,4,3,5,4,5,6,2,6,5,5,6,4,5,3,5,5,6,3,5,6,4,5,4,4,5,4,5,4,4,7,7,7,7,7,6,6,6,4,3,5,6,7,3,4,6,7,2,1,4,3,4,4,6,4,5,5,6,6,3,4,4,5,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects a strong effort. I self-monitor to improve the quality of my work.,"I tend to procrastinate, meaning others may have to adjust deadlines or work responsibilities.",I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I usually bring needed materials and come ready to work.,"I usually participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contribution of others.",I occasionally know how to gauge my own impact on the group and I'm somewhat aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.",I can assume both roles (leader and follower) but am more comfortable in one role than the other.,I consistently use self-reflection after collaborative activities.,9,2018-03-02 13:19:48,2018-03-02 13:29:51,0f9ac98079
2247df38bfe4727488d4bd1cb47e0369,Female,3,"$3,000 to $4,999",27,Junior College,,Nanyang JC,3,2,5,3,5,2,6,5,4,3,5,2,6,3,5,5,4,4,4,4,4,4,4,4,6,6,6,4,5,6,3,4,6,4,3,6,5,5,5,6,5,6,6,5,5,5,5,6,6,6,5,6,6,6,6,6,5,6,6,6,5,6,6,5,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,,,,,,"I usually share ideas, information and resources.",I often make an effort to participate and remain engaged even when a project moves away from my own immediate interests.,My work reflects my best efforts. I continuously make small changes to improve the quality of my work.,I routinely use time well to ensure that things are done on time.,I usually represent the team and the work of fellow members in a positive manner when I am in other settings.,I consistently bring needed materials and come ready to work.,"I consistently participate in group problem solving with an open mind, sharing thoughts and ideas without inhibiting the contributions of others.",I often know how to gauge my own impact on the group and am generally aware of team dynamics.,"I usually listen to, respect, acknowledge, and support the efforts of others. I occasionally allow conflict or personal differences to interfere with communication.","I am uncomfortable with role flexibility, but attempt to move outside my perceived role.","Self-reflection usually occurs after collaborative activities, but most often when things don't go well.",10,2018-03-02 13:00:01,2018-03-02 13:08:11,31b753a3d0
